Tour,Joueur,Mouvement,Pice,Position,start,end,Piece
1,White,e2e4,,♙ moved from e2 to e4,"(6, 4)","(4, 4)",♙
1,Black,d7d5,,♟ moved from d7 to d5,"(1, 3)","(3, 3)",♟
2,White,d2d4,,♙ moved from d2 to d4,"(6, 3)","(4, 3)",♙
2,Black,d5e4,,♟ moved from d5 to e4,"(3, 3)","(4, 4)",♟
3,White,f1b5,,♗ moved from f1 to b5 - ÉCHEC au roi black !,"(7, 5)","(3, 1)",♗
3,Black,c7c6,,♟ moved from c7 to c6,"(1, 2)","(2, 2)",♟
4,White,b5c4,,♗ moved from b5 to c4,"(3, 1)","(4, 2)",♗
4,Black,e7e5,,♟ moved from e7 to e5,"(1, 4)","(3, 4)",♟
5,White,b1c3,,♘ moved from b1 to c3,"(7, 1)","(5, 2)",♘
5,Black,e5d4,,♟ moved from e5 to d4,"(3, 4)","(4, 3)",♟
6,White,c3e4,,♘ moved from c3 to e4,"(5, 2)","(4, 4)",♘
6,Black,f8b4,,♝ moved from f8 to b4 - ÉCHEC au roi white !,"(0, 5)","(4, 1)",♝
7,White,e1f1,,♔ moved from e1 to f1,"(7, 4)","(7, 5)",♔
7,Black,c8f5,,♝ moved from c8 to f5,"(0, 2)","(3, 5)",♝
8,White,c1f4,,♗ moved from c1 to f4,"(7, 2)","(4, 5)",♗
8,Black,f5e4,,♝ moved from f5 to e4,"(3, 5)","(4, 4)",♝
9,White,f4b8,,♗ moved from f4 to b8,"(4, 5)","(0, 1)",♗
9,Black,a8b8,,♜ moved from a8 to b8,"(0, 0)","(0, 1)",♜
10,White,d1e2,,♕ moved from d1 to e2,"(7, 3)","(6, 4)",♕
10,Black,g8e7,,♞ moved from g8 to e7,"(0, 6)","(1, 4)",♞
11,White,f2f4,,♙ moved from f2 to f4,"(6, 5)","(4, 5)",♙
11,Black,f7f5,,♟ moved from f7 to f5,"(1, 5)","(3, 5)",♟
12,White,e2h5,,♕ moved from e2 to h5 - ÉCHEC au roi black !,"(6, 4)","(3, 7)",♕
12,Black,e8d7,,♚ moved from e8 to d7,"(0, 4)","(1, 3)",♚
13,White,h5e2,,♕ moved from h5 to e2,"(3, 7)","(6, 4)",♕
13,Black,b4d6,,♝ moved from b4 to d6,"(4, 1)","(2, 3)",♝
14,White,e2e4,,♕ moved from e2 to e4,"(6, 4)","(4, 4)",♕
14,Black,f5e4,,♟ moved from f5 to e4,"(3, 5)","(4, 4)",♟
15,White,c4e6,,♗ moved from c4 to e6 - ÉCHEC au roi black !,"(4, 2)","(2, 4)",♗
15,Black,d7e6,,♚ moved from d7 to e6,"(1, 3)","(2, 4)",♚
16,White,a1e1,,♖ moved from a1 to e1,"(7, 0)","(7, 4)",♖
16,Black,e6d5,,♚ moved from e6 to d5,"(2, 4)","(3, 3)",♚
17,White,g1e2,,♘ moved from g1 to e2,"(7, 6)","(6, 4)",♘
17,Black,d5c5,,♚ moved from d5 to c5,"(3, 3)","(3, 2)",♚
18,White,c2c3,,♙ moved from c2 to c3,"(6, 2)","(5, 2)",♙
18,Black,c5d5,,♚ moved from c5 to d5,"(3, 2)","(3, 3)",♚
19,White,g2g4,,♙ moved from g2 to g4,"(6, 6)","(4, 6)",♙
19,Black,d4d3,,♟ moved from d4 to d3,"(4, 3)","(5, 3)",♟
20,White,e2d4,,♘ moved from e2 to d4,"(6, 4)","(4, 3)",♘
20,Black,d6f4,,♝ moved from d6 to f4,"(2, 3)","(4, 5)",♝
21,White,h2h3,,♙ moved from h2 to h3,"(6, 7)","(5, 7)",♙
21,Black,f4e5,,♝ moved from f4 to e5,"(4, 5)","(3, 4)",♝
22,White,d4b3,,♘ moved from d4 to b3,"(4, 3)","(5, 1)",♘
22,Black,h8f8,,♜ moved from h8 to f8 - ÉCHEC au roi white !,"(0, 7)","(0, 5)",♜
